IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
101091,01 Jan 2009,2009,01:38:54,1,Special Service,Special Service,Lift Release,Dwelling,"Purpose Built Flats/Maisonettes - 4 to 9 storeys ",Within same building,,WC1H,0,20499089,E09000007,CAMDEN,Camden,E05000141,King's Cross,King's Cross,NULL,NULL,530350,182550,NULL,NULL,London,Euston,235,Euston,NULL,,1,1,1,1,255,1
103091,01 Jan 2009,2009,01:40:28,1,Special Service,Special Service,RTC,Outdoor,"Road surface/pavement ",In street close to gazetteer location,SW20 9LY,SW20,NULL,NULL,E09000024,MERTON,Merton,E05000473,West Barnes,West Barnes,523293,168193,523250,168150,51.3993792797,-0.2290242998,London,New Malden,348,New Malden,NULL,,2,2,2,3,765,1
105091,01 Jan 2009,2009,01:41:38,1,Special Service,Special Service,Lift Release,Dwelling,"Purpose Built Flats/Maisonettes - 10 or more storeys ",Within same building,,N7,0,21606427,E09000019,ISLINGTON,Islington,E05000378,St. George's,St. George's,NULL,NULL,529950,185450,NULL,NULL,London,Holloway,275,Holloway,NULL,,1,1,1,1,255,1
106091,01 Jan 2009,2009,01:41:57,1,Special Service,Special Service,Lift Release,Dwelling,"Self contained Sheltered Housing ",Within same building,,SE5,0,22502654,E09000028,SOUTHWARK,Southwark,E05011096,Camberwell Green,Camberwell Green,NULL,NULL,532350,176650,NULL,NULL,London,Peckham,340,Peckham,NULL,,1,1,1,1,255,1
107091,01 Jan 2009,2009,01:43:01,1,Special Service,Special Service,Flooding,Dwelling,"Converted Flat/Maisonette - Up to 2 storeys ",Within same building,,NW2,0,20201385,E09000005,BRENT,Brent,E05000088,Dollis Hill,Dollis Hill,NULL,NULL,522650,186050,NULL,NULL,London,Willesden,488,West Hampstead,NULL,,1,1,1,1,255,1
109091,01 Jan 2009,2009,01:44:06,1,Special Service,Special Service,RTC,Road Vehicle,"Car ",In street close to gazetteer location,SE1 9BG,SE1,NULL,NULL,E09000028,SOUTHWARK,Southwark,E05000548,Riverside,Riverside,532801,180433,532850,180450,51.5072328022,-0.0878324519,London,Dowgate,312,Southwark,NULL,,1,1,1,1,255,3
111091,01 Jan 2009,2009,01:45:53,1,Special Service,Special Service,RTC,Road Vehicle,"Car ",In street outside gazetteer location,SE9 6TS,SE9,NULL,NULL,E09000011,GREENWICH,Greenwich,E05000220,Eltham West,Eltham West,542494,175639,542450,175650,51.4617953315,0.0498090815,London,Eltham,272,Eltham,337,Lee Green,2,2,2,3,765,6
110091,01 Jan 2009,2009,01:46:04,1,Special Service,Special Service,RTC,Road Vehicle,"Car ",In street close to gazetteer location,SE9 2PH,SE9,NULL,NULL,E09000011,GREENWICH,Greenwich,E05000219,Eltham South,Eltham South,544733,174409,544750,174450,51.4501752552,0.0815136510,London,Eltham,351,Sidcup,NULL,,1,1,1,1,255,2
114091,01 Jan 2009,2009,01:47:42,1,False Alarm,AFA,,Other Residential,"Student Hall of Residence ",Correct incident location,KT1 4AG,KT1,10002249039,22400125,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000522,Hampton Wick,Hampton Wick,517494,169381,517450,169350,51.4112868253,-0.3119544844,London,Twickenham,389,Kingston,837,Kingston,2,3,3,1,255,1
118091,01 Jan 2009,2009,01:50:38,1,Fire,Primary Fire,,Dwelling,"Converted Flat/Maisonette - Up to 2 storeys ",Correct incident location,,SW9,0,21900936,E09000022,LAMBETH,Lambeth,E05000425,Larkhall,Larkhall,NULL,NULL,530250,175950,NULL,NULL,London,Brixton,274,Brixton,275,Brixton,1,2,2,3,765,1
123091,01 Jan 2009,2009,02:00:49,2,Fire,Secondary Fire,,Outdoor,"Loose refuse ",On land associated with building,RM8 1UD,RM8,100006493,19900082,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000040,Valence,Valence,547558,187166,547550,187150,51.5640726803,0.1274723518,London,Dagenham,287,Dagenham,NULL,,1,1,1,1,255,1
125091,01 Jan 2009,2009,02:05:15,2,Special Service,Special Service,RTC,Outdoor,"Road surface/pavement ",In street outside gazetteer location,E15 4NL,E15,NULL,NULL,E09000025,NEWHAM,Newham,E05000484,Forest Gate South,Forest Gate South,539346,184776,539350,184750,51.5446842557,0.0081318987,London,Stratford,160,Stratford,171,Stratford,1,2,2,1,255,2
131091,01 Jan 2009,2009,02:24:35,2,Special Service,Special Service,Flooding,Dwelling,"Purpose Built Flats/Maisonettes - 4 to 9 storeys ",Correct incident location,,E1,0,22701371,E09000030,TOWER HAMLETS,Tower Hamlets,E05009317,Bethnal Green,Bethnal Green,NULL,NULL,535050,182150,NULL,NULL,London,Bethnal Green,268,Bethnal Green,NULL,,1,1,1,2,510,2
132091,01 Jan 2009,2009,02:33:45,2,Fire,Secondary Fire,,Outdoor,"Loose refuse ",In street outside gazetteer location,SE20 8PW,SE20,NULL,NULL,E09000006,BROMLEY,Bromley,E05000116,Crystal Palace,Crystal Palace,534713,170217,534750,170250,51.4149736330,-0.0641876677,London,Beckenham,380,Beckenham,NULL,,1,1,1,1,255,2
135091,01 Jan 2009,2009,02:54:18,2,False Alarm,AFA,,Dwelling,"Purpose Built Flats/Maisonettes - 4 to 9 storeys ",Within same building,,EN5,0,20040820,E09000003,BARNET,Barnet,E05000058,Oakleigh,Oakleigh,NULL,NULL,526450,196050,NULL,NULL,London,Barnet,213,Barnet,503,Southgate,2,2,2,1,255,1
136091,01 Jan 2009,2009,02:57:43,2,Special Service,Special Service,Flooding,Dwelling,"Purpose Built Flats/Maisonettes - Up to 3 storeys ",Correct incident location,,CR0,0,20501720,E09000008,CROYDON,Croydon,E05011483,Shirly South,Shirly South,NULL,NULL,537350,164850,NULL,NULL,London,Addington,616,Addington,NULL,,1,1,1,1,255,1
140091,01 Jan 2009,2009,03:01:09,3,Fire,Primary Fire,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,N3 1AB,N3,200042778,20015880,E09000003,BARNET,Barnet,E05000061,West Finchley,West Finchley,525218,191365,525250,191350,51.6072089087,-0.1931472415,London,Finchley,455,Hendon,NULL,,2,2,2,1,255,1
